a	a	['boa', 'pea', 'sea', 'tea']
elba	able	['admirable', 'constable', 'excitable', 'incapable', 'miserable']
da	ad	['bread', 'broad', 'dread', 'tread']
ega	age	['average', 'bandage', 'courage', 'foliage', 'leakage', 'luggage', 'message', 'passage', 'tonnage', 'village']
nia	ain	['bargain', 'certain', 'contain', 'curtain', 'explain', 'refrain', 'villain']
la	al	['equal', 'fatal', 'final', 'ideal', 'legal', 'local', 'metal', 'moral', 'penal', 'rival', 'royal', 'rural', 'steal', 'total', 'usual', 'vital', 'wheal']
ylla	ally	['cordially', 'generally', 'gradually', 'illegally', 'naturally', 'partially', 'unusually']
ma	am	['cream', 'dream', 'gleam', 'madam', 'steam']
na	an	['began', 'clean', 'conan', 'divan', 'groan', 'human', 'woman']
ecna	ance	['allowance', 'annoyance', 'assurance', 'grievance', 'hindrance', 'ignorance', 'mischance', 'petulance', 'vengeance']
dna	and	['command', 'husband', 'offhand']
tna	ant	['distant', 'instant', 'peasant', 'piquant', 'servant']
ra	ar	['altar', 'briar', 'cigar', 'clear', 'smear', 'swear']
dra	ard	['awkward', 'forward', 'haggard', 'mustard', 'outward', 'wayward']
yra	ary	['beggary', 'library']
ta	at	['great', 'squat', 'sweat', 'treat']
eta	ate	['climate', 'imitate', 'nitrate', 'private']
deta	ated	['decorated', 'emigrated', 'entreated', 'hesitated', 'indicated', 'liberated', 'saturated', 'separated']
noita	ation	['abomination', 'affectation', 'alternation', 'association', 'circulation', 'combination', 'desperation', 'ejaculation', 'examination', 'exclamation', 'explanation', 'fabrication', 'fascination', 'humiliation', 'imagination', 'indignation', 'information', 'observation', 'propagation', 'termination']
ya	ay	['array', 'delay', 'repay']
b	b	['bob', 'cab', 'cub', 'job', 'sob', 'web']
elb	ble	['amiable', 'audible', 'bramble', 'capable', 'legible', 'notable', 'tenable', 'trouble', 'visible']
c	c	['arc', 'etc']
ec	ce	['brace', 'deuce', 'force', 'grace', 'hence', 'niece', 'ounce', 'peace', 'pence', 'piece', 'pince', 'place', 'price', 'since', 'slice', 'space', 'trace', 'twice', 'voice']
dec	ced	['chanced', 'deduced', 'glanced', 'menaced', 'noticed', 'pierced', 'reduced']
sec	ces	['chances', 'glances', 'notices', 'offices']
hc	ch	['beech', 'bunch', 'catch', 'coach', 'couch', 'fetch', 'latch', 'lunch', 'march', 'match', 'patch', 'perch', 'pinch', 'pitch', 'porch', 'reach', 'teach', 'touch', 'watch', 'which']
dehc	ched	['stretched']
kc	ck	['black', 'block', 'brick', 'check', 'clock', 'crack', 'flock', 'frock', 'knock', 'pluck', 'prick', 'quick', 'shock', 'smack', 'stick', 'stock', 'stuck', 'thick', 'track', 'trick', 'wrack', 'wreck']
dekc	cked	['padlocked', 'ransacked']
tc	ct	['erect', 'exact']
detc	cted	['attracted', 'collected', 'conducted', 'connected', 'detracted', 'inflicted', 'subjected', 'suspected']
noitc	ction	['compunction', 'conjunction', 'contraction', 'destruction', 'distinction', 'instruction', 'transaction']
d	d	['add', 'aid', 'and', 'bad', 'bed', 'dad', 'did', 'end', 'fad', 'fed', 'god', 'had', 'hid', 'lad', 'led', 'lid', 'mad', 'mud', 'nod', 'odd', 'old', 'red', 'rid', 'rod', 'sad']
ed	de	['abode', 'aside', 'bride', 'crude', 'glade', 'guide', 'pride', 'shade', 'slide', 'trade']
ded	ded	['alluded', 'avoided', 'bearded', 'blooded', 'bounded', 'branded', 'clouded', 'crowded', 'decided', 'deluded', 'founded', 'receded', 'resided', 'rounded', 'sounded', 'wounded']
red	der	['broader', 'builder', 'founder', 'grinder', 'shudder']
gnid	ding	['according', 'defending', 'exceeding', 'extending', 'impending', 'intruding', 'preceding', 'providing', 'spreading']
yld	dly	['blandly', 'rapidly']
sd	ds	['bands', 'beads', 'birds', 'cards', 'deeds', 'finds', 'funds', 'hands', 'heads', 'leads', 'lords', 'maids', 'minds', 'moods', 'needs', 'reeds', 'roads', 'seeds', 'sends', 'winds', 'woods', 'words', 'yards']
yd	dy	['bandy', 'faddy', 'handy', 'moody', 'ready', 'ruddy', 'seedy', 'study', 'weedy']
e	e	['age', 'are', 'ate', 'bee', 'bye', 'die', 'due', 'ere', 'eye', 'fee', 'ice', 'lie', 'one', 'owe', 'pie', 'pre', 'see', 'she', 'the', 'tie', 'toe', 'use', 'wee']
rae	ear	[]
tce	ect	['correct', 'inspect', 'perfect', 'protect', 'respect', 'subject', 'suspect']
